2025-08-31 05:04:34.810 | INFO     | app.parsers.courts.blue:input_captcha:61 - [input_captcha] Капча отправлена.
2025-08-31 05:04:34.824 | WARNING  | app.parsers.courts.blue:input_captcha:71 - [input_captcha] Капча не пройдена. Запуск повторной проверки.
2025-08-31 05:04:36.825 | INFO     | app.parsers.courts.blue:input_captcha:33 - [input_captcha] Начат процесс ввода капчи.
2025-08-31 05:04:36.826 | INFO     | app.parsers.courts.blue:solve_captcha:17 - [solve_captcha] Начата попытка распознания капчи.
2025-08-31 05:04:36.826 | INFO     | app.parsers.courts.blue:solve_captcha:18 - [solve_captcha] Поиск элемента с капчей.
2025-08-31 05:04:36.831 | INFO     | app.parsers.courts.blue:solve_captcha:24 - [solve_captcha] Элемент с капчей найден.
2025-08-31 05:04:36.875 | INFO     | app.parsers.courts.blue:solve_captcha:26 - [solve_captcha] Распознавание капчи.
2025-08-31 05:04:36.884 | SUCCESS  | app.parsers.courts.blue:input_captcha:36 - [input_captcha] Капча распознана.
2025-08-31 05:04:36.885 | INFO     | app.parsers.courts.blue:input_captcha:40 - [input_captcha] Поиск поля для ввода капчи.
2025-08-31 05:04:36.892 | INFO     | app.parsers.courts.blue:input_captcha:46 - [input_captcha] Поле найдено. Попытка отправить капчу.
2025-08-31 05:04:39.673 | INFO     | app.parsers.courts.blue:input_captcha:61 - [input_captcha] Капча отправлена.
2025-08-31 05:04:39.683 | SUCCESS  | app.parsers.courts.blue:input_captcha:66 - [input_captcha] Капча пройдена.
2025-08-31 05:04:39.684 | INFO     | app.parsers.courts.utils:check_503:61 - [check_503] Проверка на ошибку 503.
2025-08-31 05:04:39.690 | INFO     | app.parsers.courts.utils:check_503:69 - [check_503] Ошибка 503 отсутсвует.
2025-08-31 05:04:39.690 | INFO     | app.parsers.courts.blue:check_captcha:157 - [check_captcha] Проверка требования капчи.
2025-08-31 05:04:39.718 | INFO     | app.parsers.courts.blue:parse_court_blue:229 - [parse_court_blue] Проверка уголовных дел (подсудимый)
